Symbol,url
BIIB,https://www.sec.gov/Archives/edgar/data/875045/000087504520000005/biib-20191231x10k.htm
BLK,https://www.sec.gov/Archives/edgar/data/1364742/000156459020007807/blk-10k_20191231.htm
BA,https://www.sec.gov/Archives/edgar/data/12927/000001292720000014/a201912dec3110k.htm
BKNG,https://www.sec.gov/Archives/edgar/data/1075531/000107553120000011/bkng1231201910k.htm
BWA,https://www.sec.gov/Archives/edgar/data/908255/000090825520000014/a2019123110k.htm
BXP,https://www.sec.gov/Archives/edgar/data/1037540/000165642319000006/bxpandbplp201810-k.htm
BSX,https://www.sec.gov/Archives/edgar/data/885725/000088572520000012/a2019form10-k.htm
BMY,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/bmy-20191231x10xk.htm
AVGO,https://www.sec.gov/Archives/edgar/data/1730168/000173016819000144/avgo-11032019x10k.htm
BR,https://www.sec.gov/Archives/edgar/data/1383312/000138331219000042/br-20190630xform10xk.htm
CHRW,https://www.sec.gov/Archives/edgar/data/1043277/000104327720000016/chrw-20191231.htm
COG,https://www.sec.gov/Archives/edgar/data/858470/000085847020000012/cog-12312019x10k.htm
CDNS,https://www.sec.gov/Archives/edgar/data/813672/000081367220000007/cdns1228201910-k.htm
CZR,https://www.sec.gov/Archives/edgar/data/1590895/000156459020007599/eri-10k_20191231.htm
CPB,https://www.sec.gov/Archives/edgar/data/16732/000001673219000070/cpb-7282019x10xk.htm
COF,https://www.sec.gov/Archives/edgar/data/927628/000092762820000102/cof-12312019x10k.htm
CAH,https://www.sec.gov/Archives/edgar/data/721371/000072137119000090/a19q4_10kx063019xform10-k.htm
KMX,https://www.sec.gov/Archives/edgar/data/1170010/000117001019000040/kmx0228201910-k.htm
CCL,https://www.sec.gov/Archives/edgar/data/815097/000081509720000003/a2019form10-kfrontpart.htm
CTLT,https://www.sec.gov/Archives/edgar/data/1596783/000159678319000183/ctlt-20190630.htm
CAT,https://www.sec.gov/Archives/edgar/data/18230/000001823020000056/cat10-k12312019.htm
CBOE,https://www.sec.gov/Archives/edgar/data/1374310/000155837020001127/cboe-20191231x10k3d7487.htm
CBRE,https://www.sec.gov/Archives/edgar/data/1138118/000156459019005666/cbg-10k_20181231.htm
CDW,https://www.sec.gov/Archives/edgar/data/1402057/000140205720000042/cdw-20191231x10k.htm
CE,https://www.sec.gov/Archives/edgar/data/1306830/000130683020000018/ce-20191231x10k.htm
CNC,https://www.sec.gov/Archives/edgar/data/1071739/000107173920000060/form10k.htm
CNP,https://www.sec.gov/Archives/edgar/data/48732/000113031020000016/cnp10k12312019.htm
CERN,https://www.sec.gov/Archives/edgar/data/804753/000080475320000007/a201910-k.htm
CF,https://www.sec.gov/Archives/edgar/data/1324404/000132440420000006/cf-12312019x10k.htm
SCHW,https://www.sec.gov/Archives/edgar/data/316709/000031670920000012/schw-12312019x10k.htm
CHTR,https://www.sec.gov/Archives/edgar/data/1091667/000109166720000024/chtr12312019-10k.htm
CVX,https://www.sec.gov/Archives/edgar/data/93410/000009341020000010/cvx12312019-10kdoc.htm
CMG,https://www.sec.gov/Archives/edgar/data/1058090/000105809020000010/cmg-20191231x10k.htm
CB,https://www.sec.gov/Archives/edgar/data/896159/000089615920000003/cb-12312019x10k.htm
CHD,https://www.sec.gov/Archives/edgar/data/313927/000156459020004956/chd-10k_20191231.htm
CI,https://www.sec.gov/Archives/edgar/data/1739940/000173994020000006/ci-20191231.htm
CINF,https://www.sec.gov/Archives/edgar/data/20286/000002028620000011/cinf-20191231x10k.htm
CTAS,https://www.sec.gov/Archives/edgar/data/723254/000072325419000021/ctas531201910k.htm
CSCO,https://www.sec.gov/Archives/edgar/data/858877/000085887719000012/csco-2019727x10k.htm
C,https://www.sec.gov/Archives/edgar/data/831001/000083100120000031/c-12312019x10k.htm
CFG,https://www.sec.gov/Archives/edgar/data/759944/000075994420000030/citizens10-kx2019.htm
CTXS,https://www.sec.gov/Archives/edgar/data/877890/000087789020000051/ctxs-20191231.htm
CLX,https://www.sec.gov/Archives/edgar/data/21076/000002107619000012/fy19clx10k.htm
CME,https://www.sec.gov/Archives/edgar/data/1156375/000115637520000013/cme-2019123110k.htm
CMS,https://www.sec.gov/Archives/edgar/data/201533/000081115620000004/a2019form10-kxcmsenerg.htm
KO,https://www.sec.gov/Archives/edgar/data/21344/000002134420000006/a2019123110-k.htm
CTSH,https://www.sec.gov/Archives/edgar/data/1058290/000105829020000008/ctsh20191231-10k.htm
CL,https://www.sec.gov/Archives/edgar/data/21665/000002166520000004/cl-12312019x10k.htm
CMCSA,https://www.sec.gov/Archives/edgar/data/902739/000116669120000008/cmcsa-12312019x10k.htm
CMA,https://www.sec.gov/Archives/edgar/data/28412/000002841220000034/a201910k.htm
