,gvkey,lpermno,datadate,fyear,tic,sic,sic3,td,long_debt_dum,me,l_a,l_sale,div_d,age,atr,smalltaxlosscarry,largetaxlosscarry,l_emp,l_ppent,l_laborratio,Inv,Ch_Cash,Div,Ch_Debt,Ch_Eqty,Ch_WC,CF,td_a,td_mv,mb,prof_a,ppe_a,cash_a,xrd_a,dltt_a,invopps_FG09,sales_g,dv_a,short_debt
3145,179288,92528.0,2019-12-31,2019.0,AHC,2711.0,271.0,24.699,1.0,60.3762,4.949079,5.212558,1.0,0.0,0.32214764,1.0,0.0,0.604316,3.7092702,3.8707993,0.0012336489,-0.0474104,0.048750397,0.0,-0.005969726,-0.029600484,0.008543373,0.17511432,0.29031962,1.0187118,-0.026431281,0.28234962,0.34475523,0.0,0.16391931,0.60589683,,0.0487504,0.063929714
3146,179300,92520.0,2019-12-31,2019.0,AACG,8200.0,820.0,5.464,1.0,42.4315,4.5757103,2.6421952,0.0,0.0,1.0,1.0,0.0,0.56984895,2.5572274,2.740504,0.054646388,-0.053822465,0.0,-0.01331658,0.091063574,-0.020422876,-0.07692307,0.056273624,0.1140817,0.9930636,-0.11069343,0.122557856,0.2280709,0.017477367,0.018486667,0.34173858,,0.0,0.6714861
3147,179413,91365.0,2019-06-30,2019.0,CSII,3841.0,384.0,20.972,1.0,1499.7595,5.3871384,5.5134974,0.0,0.0,1.0,0.0,1.0,0.54869926,3.3437095,3.6211073,0.24866295,-0.19225718,0.0,0.0,0.009868376,0.023776518,0.046537377,0.095947884,0.013790731,7.1846194,0.011991197,0.12500858,0.5612301,0.15309021,0.095947884,6.682645,,0.0,0.0
3148,179441,92587.0,2019-12-31,2019.0,BEAT,8090.0,809.0,214.566,1.0,1575.2649,6.5304694,6.084743,0.0,0.0,0.24879178,0.0,1.0,0.9932518,4.301088,3.756813,0.11006387,-0.017900892,0.0,-0.010257831,0.0038718428,0.07266815,0.09854898,0.31290615,0.119880594,2.7621593,0.1512454,0.10613661,0.10006125,0.020407747,0.29916146,2.6050842,,0.0,0.043925878
3149,179447,17324.0,2019-02-28,2018.0,MKGI,4700.0,470.0,1.543,0.0,23.78568,2.3172767,-0.68319684,0.0,0.0,0.0,0.0,1.0,0.00796817,0.0069756135,,0.05429641,-0.15480883,0.0,0.034489553,0.21511629,-0.017638944,-0.35011825,0.15204966,0.060919084,2.5685534,-0.48620418,0.000570874,0.0032518723,0.10563658,0.0,2.2608316,,0.0,1.0
3150,179461,16974.0,2019-06-30,2019.0,AYTU,2836.0,283.0,0.0,0.0,33.14682,3.5473447,1.9906104,0.0,0.0,1.0,1.0,0.0,0.051643234,0.18564935,1.347828,0.030586679,0.12044585,0.0,0.14400508,0.44799978,0.048673715,-0.44097233,0.0,0.0,1.7505205,-0.4207828,0.005875407,0.32527864,0.016963797,0.0,0.42425793,,0.0,
3151,179577,92648.0,2019-12-31,2019.0,CFX,3540.0,354.0,2488.246,1.0,4294.9863,8.9074545,8.109964,0.0,0.0,1.0,0.0,1.0,2.7725887,6.5006304,3.7910764,0.22103615,-0.018328154,0.0,0.15010238,0.0016081318,-0.015890032,0.050997503,0.33684888,0.36682308,1.1155511,0.076951526,0.089965634,0.014841545,0.008366238,0.32768893,,,0.0,0.027193049
3152,179583,93427.0,2019-06-30,2019.0,FN,3670.0,367.0,61.438,1.0,1829.9421,7.135144,7.36792,0.0,0.0,0.04181157,,,2.539237,5.355104,2.8933475,0.078121245,0.021355545,0.0,-0.0029617993,-0.012767283,0.016006304,0.11520586,0.04894218,0.032483157,1.7701977,0.12342928,0.16783476,0.34838343,0.0,0.046036143,1.5021163,,0.0,0.059376933
3153,179598,10258.0,2019-12-31,2019.0,CLDX,2836.0,283.0,3.657,1.0,37.84756,4.8116393,1.2734056,0.0,0.0,1.0,1.0,0.0,0.12221763,2.1405365,4.055657,-0.13893747,-0.10638315,0.0,0.0,0.13224277,0.035165496,-0.3775634,0.029747913,0.0881108,0.58148843,-0.40401682,0.06104138,0.5237243,0.3471159,0.0139344195,0.26844388,,0.0,0.53158325
3154,179621,92602.0,2019-12-31,2019.0,PM,2111.0,211.0,31808.0,1.0,132391.11,10.666044,10.302431,1.0,0.0,0.24192868,,,4.310799,8.908965,4.6115446,0.042239066,0.0057142857,0.1385936,-0.012664723,0.0,-0.0092827985,0.22763848,0.74187756,0.19371603,4.3578568,0.2922449,0.17252478,0.16011661,0.010845481,0.63498545,3.8067627,,0.1385936,0.14408325
3155,179624,93347.0,2019-03-31,2018.0,CJJD,5912.0,591.0,25.952,0.0,75.81494,4.2867675,4.677965,0.0,0.0,1.0,0.0,1.0,0.731887,2.3564103,2.1808205,0.10072734,-0.09221652,0.0,0.1101456,0.00010999437,0.042169087,-0.101744786,0.35682172,0.25501406,1.792646,0.008277075,0.13134702,0.34271494,0.0,0.0,1.3992237,,0.0,1.0
3156,179657,92597.0,2019-09-30,2019.0,HI,3530.0,353.0,619.5,1.0,1936.176,7.709129,7.4995894,1.0,0.0,0.29377544,,,2.014903,4.9508853,3.0719807,0.022974065,0.15386342,0.02360226,0.12622273,-0.0018845912,0.017185677,0.07610159,0.2779772,0.24240161,1.530412,0.13187651,0.06295432,0.17921565,0.004756349,0.2779772,1.116509,,0.023602262,0.0
