,tic,url,supply_chain_risk,regulatory_risk,inflationary_risk,macro_risk,debt_risk,liquidity_risk,doctype,gvkey,lpermno,datadate,fyear,sic,sic3,td,long_debt_dum,me,l_a,l_sale,div_d,age,atr,smalltaxlosscarry,largetaxlosscarry,l_emp,l_ppent,l_laborratio,Inv,Ch_Cash,Div,Ch_Debt,Ch_Eqty,Ch_WC,CF,td_a,td_mv,mb,prof_a,ppe_a,cash_a,xrd_a,dltt_a,invopps_FG09,sales_g,dv_a,short_debt,_merge
181,FFIV,https://www.sec.gov/Archives/edgar/data/1048695/000104869519000034/ffiv10k9-30x2019.htm,5.0,5.0,0.0,8.0,1.0,0.0,Risk Section,121077.0,86964.0,2019-09-30,2019.0,7373.0,737.0,0.0,0.0,8476.734,8.128666,7.715323,0.0,0.0,0.20952633,1.0,0.0,1.8445101,5.413546,3.7366676,0.122301,0.05201938,0.0,0.0,-0.045850854,-0.01920198,0.22017121,0.0,0.0,2.9807353,0.19323625,0.06590203,0.28678557,0.12036133,0.0,2.4868383,,0.0,,both
182,FB,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/fb-12312019x10k.htm,2.0,12.0,0.0,8.0,0.0,0.0,Risk Section,170617.0,13407.0,2019-12-31,2019.0,7370.0,737.0,11074.0,1.0,585373.0,11.800927,11.166159,0.0,0.0,0.25499758,1.0,0.0,3.8273797,10.709606,6.904211,0.14893234,0.06864054,0.0,-0.0058106408,-0.04902681,-0.05447007,0.27241033,0.08302843,0.018566612,4.6312304,0.2603767,0.33576506,0.41134086,0.10196737,0.074541144,4.4672093,,0.0,0.10222142,both
183,FAST,https://www.sec.gov/Archives/edgar/data/815556/000081555620000011/fast1231201910-k.htm,2.0,1.0,1.0,3.0,0.0,1.0,Risk Section,14225.0,11618.0,2019-12-31,2019.0,5000.0,500.0,590.6,1.0,21214.066,8.24273,8.5818,1.0,0.0,0.2422152,,,3.1332307,7.144723,4.0552573,0.06308061,0.002026369,0.13121398,-0.040790547,0.015395142,0.032079794,0.22171636,0.15542513,0.027085945,5.881304,0.31703466,0.33327192,0.046027526,0.0,0.12900339,5.7030487,,0.13121398,0.16999662,both
184,FRT,https://www.sec.gov/Archives/edgar/data/34903/000003490320000008/frt-1231201910k.htm,1.0,2.0,0.0,1.0,4.0,1.0,Risk Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
185,FDX,https://www.sec.gov/Archives/edgar/data/1048911/000119312519222475/d782708d10ka.htm,0.0,0.0,0.0,0.0,0.0,0.0,10K,4598.0,60628.0,2019-05-31,2018.0,4513.0,451.0,17581.0,1.0,40209.535,10.904175,11.151855,1.0,0.0,0.17557251,1.0,0.0,6.025866,10.323184,4.191925,0.10060107,-0.017388746,0.012554455,0.018877635,-0.025347866,0.04586144,0.10223701,0.32316232,0.30421937,1.4127077,0.15758322,0.55932575,0.042626325,0.0,0.30544272,1.0143073,,0.012554455,0.054831922,both
186,FIS,https://www.sec.gov/Archives/edgar/data/1136893/000113689320000032/a10-k2019.htm,4.0,9.0,0.0,10.0,5.0,1.0,Risk Section,165993.0,89003.0,2019-12-31,2019.0,7374.0,737.0,20787.0,1.0,85540.35,11.33626,9.243098,1.0,0.0,0.2512563,,,4.0253515,7.2896104,3.2815945,0.08950433,0.02992626,0.007827601,0.10357254,-0.0034842375,0.011956184,0.027169893,0.24803713,0.19550003,1.430761,0.047979858,0.017468916,0.031871226,0.0,0.2111424,0.9355064,,0.007827601,0.14874682,both
187,FITB,https://www.sec.gov/Archives/edgar/data/35527/000119312519059441/d680668d10k.htm,0.0,28.0,0.0,9.0,8.0,21.0,Risk Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
188,FE,https://www.sec.gov/Archives/edgar/data/1031296/000103129620000008/fe-12312019x10k.htm,16.0,29.0,0.0,4.0,19.0,1.0,Risk Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
189,FISV,https://www.sec.gov/Archives/edgar/data/798354/000079835420000006/fisv1231201910-k.htm,3.0,5.0,2.0,5.0,3.0,0.0,Risk Section,12635.0,10696.0,2019-12-31,2019.0,7374.0,737.0,22642.0,1.0,78616.836,11.258536,9.228868,0.0,0.0,0.18148488,0.0,1.0,3.8066626,7.7367435,3.9521174,0.21411161,0.006680509,0.0,0.19328338,-0.005223178,0.0045783413,0.032731917,0.2920079,0.22360517,1.5885792,0.0414888,0.029533526,0.011516785,0.0,0.286501,1.0012026,,0.0,0.018858759,both
190,FLT,https://www.sec.gov/Archives/edgar/data/1175454/000117545419000004/flt_10-kx12312018.htm,0.0,17.0,0.0,15.0,4.0,1.0,Risk Section,184700.0,12449.0,2019-12-31,2019.0,7374.0,737.0,5135.385,1.0,24554.6,9.413162,7.8818803,0.0,0.0,0.16955166,1.0,0.0,2.272126,5.652928,3.4860914,0.042756278,0.025337221,0.0,0.017849391,-0.042942584,0.01569746,0.09318669,0.41926503,0.17296691,2.701671,0.123101845,0.02319664,0.13677034,0.0,0.27526927,2.4063847,,0.0,0.34344807,both
